Partner_Encoded,Dependents_Encoded,PhoneService_Encoded,PaperlessBilling_Encoded,TenureCategory_Encoded,ServiceAdoptionLevel_Encoded,OnlineSecurity_Binary,OnlineBackup_Binary,DeviceProtection_Binary,TechSupport_Binary,StreamingTV_Binary,StreamingMovies_Binary,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_StandardScaled,MonthlyCharges_StandardScaled,TotalCharges_StandardScaled,ServiceAdoptionScore_StandardScaled,AvgChargesPerService_StandardScaled,TotalServices_StandardScaled,PaymentReliabilityScore_StandardScaled,ContractReliabilityScore_StandardScaled,OverallReliabilityScore_StandardScaled,Churn
1,1,1,1,2,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.9214550572028734,0.142525932095321,0.6895096493554922,-1.103033437928102,2.8837896846396815,-0.9280832414338016,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,0,1,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.6666391278783103,-1.5225946620711341,-0.8616012559077836,-1.103033437928102,-0.8792455220620624,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,1,1,1,1,0,1,0,0,0,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,-0.21871512695797646,0.7025515211513048,-0.026309636095803397,-0.02051905022830094,0.46618429645714626,0.369182623097476,-1.260243143163744,0.3712710329765762,-0.5587281201758802,0
1,1,1,1,2,2,1,1,1,1,0,1,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,1.6137012404433893,1.3340343812144315,2.405733261910076,1.6032525313214008,-0.2733003657008581,1.6664484876287537,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,0,1,1,1,0,0,1,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,-0.1779947632379461,-0.9642308700153169,-0.5816265757553076,-0.02051905022830094,-1.0286090733434547,-0.49566128659004244,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
1,0,1,1,2,2,1,1,1,1,1,1,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,1.5729808767233588,0.7091987091519689,1.6615679739378277,2.1445097251713015,-0.8537726683551583,1.6664484876287537,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,1,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,-0.30015585439803716,-1.481049737066981,-0.7817030293467792,-1.103033437928102,-0.7055669740604436,-1.360505196277561,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,1,1,0,2,0,0,0,0,0,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.7992939660427822,-1.3364733980525287,-0.41854330988962424,-1.103033437928102,-1.2381811879320748,-0.9280832414338016,-0.11407934444186284,1.5707489619921844,0.8557658231737686,0
0,0,1,1,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.8295205827584317,-0.5105602889699654,-0.7359303015405715,-0.5617762440782015,-0.08032420125461524,-0.49566128659004244,-1.260243143163744,-0.828206896039032,-1.2659750918507047,0
1,0,1,1,1,2,0,1,1,1,1,0,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0.5142514200025698,1.1279715531938321,0.990925819352611,1.0619953374715,-0.08379777221464742,1.2340265327849944,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,0,0,0,1,1,1,0,0,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0.18848851024232702,-0.6435040489832552,-0.30293132606681256,0.5207381436215996,-0.9890103643990855,-0.06323933174628321,-1.260243143163744,1.5707489619921844,0.14851885149894414,0
0,1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.1145631287986442,-1.4760643460664828,-0.951955517639941,-1.103033437928102,-0.6847255483002489,-1.360505196277561,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,1,1,1,2,2,0,1,0,1,1,1,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,1.2879383306831464,1.1429277261953275,1.7168481936401683,1.0619953374715,0.4238398123729417,0.8016045779412352,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,0,1,0,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.0965540357978854,-1.5076384890696393,-0.7505555152926273,-1.103033437928102,-0.8167212447814798,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,1,2,1,1,1,0,1,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,1.4915401492832983,0.07106866108817798,1.0139114494124029,0.5207381436215996,-0.8564191986104206,0.8016045779412352,-0.11407934444186284,1.5707489619921844,0.8557658231737686,0
1,1,1,1,2,2,1,1,1,1,1,1,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,1.247217966963116,0.8188773111629334,1.46380773066908,2.1445097251713015,-1.027914359151448,2.098870442472513,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,1,1,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.26992923768238775,-1.4727407520661506,-0.6572453280057557,-1.103033437928102,-0.6708312644601198,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,0,2,1,0,0,1,0,1,1,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,1.125056875803025,1.2093996062019723,1.6710534066880298,0.5207381436215996,0.5032357200308248,0.8016045779412352,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,0,2,0,0,0,0,0,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.8400143297628127,-1.3348116010523623,-0.4415068808034855,-1.103033437928102,-1.2335497599853646,-0.9280832414338016,-0.11407934444186284,1.5707489619921844,0.8557658231737686,0
0,0,1,1,2,0,0,1,0,0,0,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.758573602322752,0.4931650991303729,0.7477899129044081,-0.5617762440782015,0.9117276649306318,-0.06323933174628321,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,0,1,0,2,2,1,1,1,1,1,1,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,1.5729808767233588,0.8155537171626008,1.8127834192927932,2.1445097251713015,-1.0306932159194742,2.098870442472513,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,1,1,1,2,0,0,0,0,0,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,1.1657772395230555,-1.3215172250510334,-0.34473340760549376,-1.103033437928102,-1.1964983364116861,-0.9280832414338016,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,1,0,1,1,0,0,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.9109613101984924,-0.32610082195152557,-0.754812930457253,-0.02051905022830094,-0.45824872170613795,-0.06323933174628321,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,0,1,0,1,1,1,1,0,1,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.3408762181180675,-0.143303151933252,-0.37014554371766295,0.5207381436215996,-0.7125141159805078,0.369182623097476,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
1,1,0,1,2,2,1,1,0,1,0,1,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,1.1657772395230555,-0.467353566965646,0.3569239061582909,1.0619953374715,-1.164078340784717,0.369182623097476,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,1,1,0,2,1,1,0,1,0,0,0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,1.4508197855632678,0.5180920541328647,1.3656445312774539,-0.02051905022830094,0.953410516451021,-0.06323933174628321,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,1,1,1,1,1,0,1,0,0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,-0.38159658183809786,-0.23304018994222275,-0.43980832656682145,0.5207381436215996,-0.8375626705416738,0.369182623097476,-0.11407934444186284,0.3712710329765762,0.14851885149894414,0
1,1,1,0,2,0,0,0,0,0,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,1.4915401492832983,-1.3397969920528607,-0.24773934294819486,-1.103033437928102,-1.2474440438254946,-0.9280832414338016,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,0,0,2,1,0,1,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,-1.0331224013585834,0.5480044001358552,-0.7498496226228448,1.6032525313214008,-0.6899359047402976,1.2340265327849944,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
1,1,1,0,2,0,1,0,0,0,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.6137012404433893,0.4748853321285456,1.5225071179906793,-0.5617762440782015,0.8811602404823471,-0.06323933174628321,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,1,2,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.1657772395230555,-0.5005895069689685,0.30073926147279173,-0.5617762440782015,-0.059482775494420666,-0.49566128659004244,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,0,1,0,2,1,1,0,1,0,0,0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,1.2879383306831464,0.5164302571326987,1.207943697018862,-0.02051905022830094,0.9506316596829947,-0.06323933174628321,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
0,0,1,1,0,1,1,0,0,1,0,0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-1.1960038562387048,0.5829021371393436,-0.9111902159600027,-0.02051905022830094,1.0617859304040314,-0.06323933174628321,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
1,0,1,1,2,2,1,0,1,1,1,1,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,1.6137012404433893,0.6526976111463211,1.683869770473768,1.6032525313214008,-0.9062621850845363,1.6664484876287537,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,1,0,1,1,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,-0.2594354906780068,-1.1619847130350858,-0.658789468220905,-0.5617762440782015,-0.7518812535275418,-0.9280832414338016,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
0,1,1,0,0,0,0,0,0,0,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-1.2774445836787656,-1.3082228490497045,-0.9945737875780581,-1.103033437928102,-1.1594469128380076,-0.9280832414338016,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
0,0,1,0,2,1,0,1,1,0,0,0,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,1.4508197855632678,0.4931650991303729,1.4037186171538465,-0.02051905022830094,0.9117276649306318,-0.06323933174628321,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,1,1,1,1,0,0,0,0,0,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.5444780367182193,-1.3248408190513656,-0.799438582675064,-1.103033437928102,-1.2057611923051064,-0.9280832414338016,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,0,1,2,2,0,1,1,0,1,1,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,1.369379058123207,-0.2662761299455452,0.6303029016774868,1.0619953374715,-0.8838769500087721,0.369182623097476,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.9516816739185228,-1.4960059100684764,-0.9128446519048055,-1.103033437928102,-0.7680912513410262,-1.360505196277561,-0.11407934444186284,1.5707489619921844,0.8557658231737686,0
0,0,1,1,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.38159658183809786,-1.504314895069307,-0.7983356253785289,-1.103033437928102,-0.80282696094135,-1.360505196277561,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
1,0,1,0,2,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,1.0843365120829946,-1.4760643460664828,-0.4468010758268541,-1.103033437928102,-0.6847255483002489,-1.360505196277561,-0.11407934444186284,0.3712710329765762,0.14851885149894414,0
1,1,1,0,2,2,1,1,1,0,1,1,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,1.247217966963116,0.6227852651433307,1.392049328956505,1.6032525313214008,-0.9340507527647952,1.6664484876287537,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,1,1,2,1,1,0,1,0,1,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,-0.30015585439803716,0.2089978121019659,-0.19501798417381594,1.0619953374715,-0.6916726902203137,0.8016045779412352,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
1,0,0,0,2,2,1,1,0,0,1,1,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,1.4915401492832983,-0.2729233179462098,0.7380618295489685,1.0619953374715,-0.8931398059021922,0.369182623097476,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,1,1,1,1,0,1,1,0,0,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.43281069256250915,0.8803638001690798,0.7650401650222176,0.5207381436215996,0.11022597712430417,0.8016045779412352,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,0,1,1,2,2,1,1,1,1,0,0,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,1.5729808767233588,0.9052907551715716,1.8994979219463848,1.0619953374715,-0.3165270265368169,1.2340265327849944,-1.260243143163744,0.3712710329765762,-0.5587281201758802,0
0,1,0,1,1,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.5444780367182193,-1.3098846460498705,-0.7560261834834415,-1.103033437928102,0.009988643706226917,-1.360505196277561,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,0,1,0,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.3106496014024181,-1.4993295040688086,-0.6394877155315403,-1.103033437928102,-0.781985535181156,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,1,1,2,1,1,1,1,1,1,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,0.5956921474426305,1.6182016682428386,1.3403426908949383,2.1445097251713015,-0.35959930644121824,2.098870442472513,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,0,1,1,2,2,1,0,1,1,1,1,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,1.0436161483629645,0.6493740171459885,1.1632518673632586,1.6032525313214008,-0.9093498037156762,1.6664484876287537,-1.260243143163744,1.5707489619921844,0.14851885149894414,0
0,0,1,1,1,1,0,0,1,1,0,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,0.35136996512244845,0.12756975909382579,0.2635254822876967,0.5207381436215996,-0.7889326771012208,0.8016045779412352,-1.260243143163744,0.3712710329765762,-0.5587281201758802,0
1,0,1,1,2,2,1,1,1,1,1,1,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,1.125056875803025,1.7046151122514768,2.0498089423181916,2.1445097251713015,-0.28734903047254484,2.098870442472513,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,1,2,2,1,1,1,0,0,1,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,1.4508197855632678,1.2409737492051283,2.148391265482501,1.0619953374715,0.034303640426453175,1.2340265327849944,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,0,2,0,0,0,0,0,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,1.5729808767233588,-1.3065610520495383,-0.216216823413221,-1.103033437928102,-1.154815484891298,-0.9280832414338016,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,1,2,0,1,0,0,0,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0436161483629645,0.4998122871310375,0.9913890614171559,-0.5617762440782015,0.9228430920027357,-0.06323933174628321,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
1,0,1,1,2,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,1.5729808767233588,-1.4577845790646555,-0.347005499636356,-1.103033437928102,-0.608306987179537,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,0,0,0,2,1,1,0,1,0,1,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,-1.0738427650786138,-0.4590445819648154,-0.8700719679451734,1.0619953374715,-1.1524997709179428,0.369182623097476,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,0,1,1,2,1,1,1,1,0,0,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,1.369379058123207,-0.12003799393092641,0.7666504826751588,0.5207381436215996,-0.6800941203535393,0.369182623097476,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,0,1,0,2,1,1,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.4508197855632678,-0.29452667894836937,0.6922449834508995,-0.02051905022830094,-0.4054504431136459,-0.06323933174628321,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
0,1,1,0,2,1,1,0,0,0,1,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0.9621754209229036,0.9983513871808745,1.3167394047490868,0.5207381436215996,0.8783813837143212,0.369182623097476,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
0,0,1,0,1,2,0,0,1,1,1,1,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0.47353105628253944,1.1745018691984834,0.9258733980029695,1.0619953374715,0.4615528685104357,0.8016045779412352,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,0,2,1,1,1,0,0,0,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1.002895784642934,-0.37595473195650925,0.3411516168178386,-0.02051905022830094,-0.5416144247469148,-0.06323933174628321,-1.260243143163744,0.3712710329765762,-0.5587281201758802,0
0,1,1,0,2,1,1,1,0,1,0,0,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1.5322605130033284,0.006258578081699082,1.002264220360992,0.5207381436215996,-0.933830208576857,0.8016045779412352,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
0,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.2774445836787656,-1.4694171580658184,-0.9967135247333362,-1.103033437928102,-0.65693698061999,-1.360505196277561,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,0,1,1,1,1,1,1,0,0,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.025607055362205634,-0.12834697893175703,-0.10847995468767015,-0.02051905022830094,-0.6916726902203137,0.369182623097476,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
0,0,0,1,2,1,0,0,0,1,0,1,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,1.5322605130033284,-0.8213163280010305,0.22942204267883054,-0.02051905022830094,-0.7298819707806703,-0.49566128659004244,-0.11407934444186284,1.5707489619921844,0.8557658231737686,0
0,0,1,1,1,0,0,0,0,0,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.10704778280226633,-1.3015756610490399,-0.6081637283099428,-1.103033437928102,-1.1409212010511682,-0.9280832414338016,-1.260243143163744,-0.828206896039032,-1.2659750918507047,0
0,0,1,0,1,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.055833672077855064,-1.4744025490663168,-0.7370553179830374,-1.103033437928102,-0.6777784063801846,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,1,2,1,1,1,0,0,0,1,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1.125056875803025,0.9468356801757247,1.5418529889719055,0.5207381436215996,0.18962188478218683,0.8016045779412352,-1.260243143163744,-0.828206896039032,-1.2659750918507047,0
0,0,1,1,0,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.1552834925186746,-1.46443176706532,-0.9688307642769284,-1.103033437928102,-0.636095554859796,-1.360505196277561,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
0,0,1,0,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.5444780367182193,-1.491020519067978,-0.8436230519742611,-1.103033437928102,-0.7472498255808322,-1.360505196277561,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
1,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.8295205827584317,-1.477726143066649,-0.9067342684820009,-1.103033437928102,-0.6916726902203137,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,0,2,0,0,0,0,0,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,1.6137012404433893,-1.5109620830699715,-0.38159424045569756,-1.103033437928102,-0.8306155286216089,-1.360505196277561,1.0320844542800183,1.5707489619921844,1.563012794848593,0
